#    angle	    s11	            s12            s33           s34
   111.5000       2.445547       2.388647      0.3029510      0.4281187    
   112.5000       2.101094       2.081714      8.9125507E-02  0.2704011    
   113.5000       1.804681       1.799304     -8.8630244E-02  0.1073460    
   114.5000       1.570683       1.553402     -0.2225633     -6.6727862E-02
   115.5000       1.409476       1.351891     -0.3057034     -0.2560423    
   116.5000       1.326744       1.198253     -0.3323709     -0.4625665    
   117.5000       1.323092       1.091575     -0.2986781     -0.6854389    
   118.5000       1.394021       1.026876     -0.2029991     -0.9206585    
   119.5000       1.530240      0.9956886     -4.6360500E-02  -1.161072    
   120.5000       1.718325      0.9868897      0.1672728      -1.396678    
   121.5000       1.941667      0.9876833      0.4308529      -1.615214    
   122.5000       2.181650      0.9846933      0.7342643      -1.803007    
   123.5000       2.418997      0.9650802       1.064516      -1.946014    
   124.5000       2.635165      0.9176089       1.406118      -2.030991    
   125.5000       2.813725      0.8335990       1.741624      -2.046683    
   126.5000       2.941602      0.7076942       2.052344      -1.984961    
   127.5000       3.010107      0.5383974       2.319177      -1.841817    
   128.5000       3.015675      0.3283451       2.523534      -1.618106    
   129.5000       2.960260      8.4293842E-02   2.648324      -1.320006    
   130.5000       2.851330     -0.1831751       2.678922     -0.9591177    
   131.5000       2.701478     -0.4602228       2.604088     -0.5521760    
   132.5000       2.527650     -0.7305449       2.416779     -0.1204003    
   133.5000       2.350039     -0.9763533       2.114797      0.3115268    
   134.5000       2.190701      -1.179481       1.701241      0.7167777    
   135.5000       2.071991      -1.322544       1.184715       1.067930    
   136.5000       2.014919      -1.390089      0.5792705       1.338655    
   137.5000       2.037525      -1.369654     -9.5915437E-02   1.505442    
   138.5000       2.153399      -1.252686     -0.8171549       1.549245    
   139.5000       2.370444      -1.035245      -1.557108       1.456945    
   140.5000       2.689975     -0.7184572      -2.285880       1.222513    
   141.5000       3.106234     -0.3086933      -2.972306      0.8478140    
   142.5000       3.606361      0.1825604      -3.585372      0.3429519    
   143.5000       4.170860      0.7391142      -4.095703     -0.2738584    
   144.5000       4.774525       1.340764      -4.477061     -0.9769149    
   145.5000       5.387811       1.964215      -4.707777      -1.734131    
   146.5000       5.978570       2.584198      -4.772043      -2.508551    
   147.5000       6.514048       3.174705      -4.661005      -3.260231    
   148.5000       6.963044       3.710297      -4.373582      -3.948350    
   149.5000       7.298085       4.167380      -3.916988      -4.533453    
   150.5000       7.497499       4.525431      -3.306890      -4.979703    
   151.5000       7.547221       4.768036      -2.567207      -5.256978    
   152.5000       7.442250       4.883765      -1.729526      -5.342721    
   153.5000       7.187606       4.866754     -0.8321557      -5.223399    
   154.5000       6.798739       4.717029      8.1148863E-02  -4.895498    
   155.5000       6.301336       4.440523      0.9627610      -4.365969    
   156.5000       5.730484       4.048770       1.762986      -3.652094    
   157.5000       5.129240       3.558329       2.432024      -2.780764    
   158.5000       4.546665       2.989949       2.922027      -1.787211    
   159.5000       4.035394       2.367516       3.189132     -0.7132398    
   160.5000       3.648877       1.716843       3.195432      0.3949322    
   161.5000       3.438440       1.064375       2.910758       1.489114    
   162.5000       3.450312      0.4358670       2.314216       2.521722    
   163.5000       3.722805     -0.1448824       1.395392       3.448357    
   164.5000       4.283782     -0.6571918      0.1551955       4.230226    
   165.5000       5.148599      -1.084478      -1.393738       4.836267    
